"Variable","CleanVar","Region","Importance","Type"
"CloudCover","Cloud Cover","Midwest",1.1126613559644,"Maximum Temperature"
"dist2coast","Dist2Coast","Midwest",0.513615769297081,"Maximum Temperature"
"elevation","Elevation","Midwest",0.807116543299073,"Maximum Temperature"
"lag","Forecast Lag","Midwest",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Midwest",12.0198164175359,"Maximum Temperature"
"Max_Temp","Max Temp","Midwest",3.68960960622362,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Midwest",1.96829250491711,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Midwest",1.90413872708365,"Maximum Temperature"
"Min_DewPoint","Min DP","Midwest",19.0117736323952,"Maximum Temperature"
"Min_Temp","Min Temp","Midwest",6.76780086009954,"Maximum Temperature"
"Min_Vis","Min Vis","Midwest",1.04158862938461,"Maximum Temperature"
"month","Month","Midwest",2.1830912973687,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Midwest",2.22877263096306,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Midwest",10.5653693436838,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Midwest",12.4730994762167,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Midwest",1.97427345997367,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Midwest",4.6947199671664,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Midwest",3.59352558510424,"Maximum Temperature"
"CloudCover","Cloud Cover","Northeast",7.26973765534236,"Maximum Temperature"
"dist2coast","Dist2Coast","Northeast",20.0542939619474,"Maximum Temperature"
"elevation","Elevation","Northeast",3.97423742518474,"Maximum Temperature"
"lag","Forecast Lag","Northeast",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Northeast",19.6995612748647,"Maximum Temperature"
"Max_Temp","Max Temp","Northeast",24.1622149315403,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Northeast",6.1012387964772,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Northeast",6.04920426012451,"Maximum Temperature"
"Min_DewPoint","Min DP","Northeast",16.0295384090684,"Maximum Temperature"
"Min_Temp","Min Temp","Northeast",9.95452531389996,"Maximum Temperature"
"Min_Vis","Min Vis","Northeast",2.64780912674603,"Maximum Temperature"
"month","Month","Northeast",34.1268872921277,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Northeast",8.72539822149842,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Northeast",9.64485721132547,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Northeast",45.8262721075738,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Northeast",14.7163030243525,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Northeast",9.54223216981354,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Northeast",9.08593045109644,"Maximum Temperature"
"CloudCover","Cloud Cover","Southeast",12.2589789556954,"Maximum Temperature"
"dist2coast","Dist2Coast","Southeast",5.26793818525625,"Maximum Temperature"
"elevation","Elevation","Southeast",5.46928356615777,"Maximum Temperature"
"lag","Forecast Lag","Southeast",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Southeast",11.1369732969791,"Maximum Temperature"
"Max_Temp","Max Temp","Southeast",24.9794831292338,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Southeast",6.58185629052557,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Southeast",8.02368594719212,"Maximum Temperature"
"Min_DewPoint","Min DP","Southeast",16.4973909344993,"Maximum Temperature"
"Min_Temp","Min Temp","Southeast",7.86144292140576,"Maximum Temperature"
"Min_Vis","Min Vis","Southeast",1.97582625648539,"Maximum Temperature"
"month","Month","Southeast",7.74015143356546,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Southeast",10.6466224179301,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Southeast",9.34803914002849,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Southeast",55.2757446643227,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Southeast",2.36678251421369,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Southeast",6.90460389931163,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Southeast",13.3124476431164,"Maximum Temperature"
"CloudCover","Cloud Cover","Cali-Florida",12.9086004753026,"Maximum Temperature"
"dist2coast","Dist2Coast","Cali-Florida",41.1049262037619,"Maximum Temperature"
"elevation","Elevation","Cali-Florida",45.9654205256965,"Maximum Temperature"
"lag","Forecast Lag","Cali-Florida",48.3285198598203,"Maximum Temperature"
"Max_DewPoint","Max DP","Cali-Florida",31.7680080018955,"Maximum Temperature"
"Max_Temp","Max Temp","Cali-Florida",10.1394419673682,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Cali-Florida",82.985244221831,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Cali-Florida",66.4612217485652,"Maximum Temperature"
"Min_DewPoint","Min DP","Cali-Florida",29.4990709748657,"Maximum Temperature"
"Min_Temp","Min Temp","Cali-Florida",15.3879480467672,"Maximum Temperature"
"Min_Vis","Min Vis","Cali-Florida",34.789918372948,"Maximum Temperature"
"month","Month","Cali-Florida",5.20101622118557,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Cali-Florida",9.87759783086531,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Cali-Florida",4.43293967025649,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Cali-Florida",100,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Cali-Florida",8.51887507363752,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Cali-Florida",5.96868985441106,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Cali-Florida",14.2172334748092,"Maximum Temperature"
"CloudCover","Cloud Cover","Intermountain West",7.22717329242115,"Maximum Temperature"
"dist2coast","Dist2Coast","Intermountain West",54.2626946273771,"Maximum Temperature"
"elevation","Elevation","Intermountain West",75.3768478706329,"Maximum Temperature"
"lag","Forecast Lag","Intermountain West",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Intermountain West",21.1578076702487,"Maximum Temperature"
"Max_Temp","Max Temp","Intermountain West",6.75547040536379,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Intermountain West",5.60710427232945,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Intermountain West",9.18710161383123,"Maximum Temperature"
"Min_DewPoint","Min DP","Intermountain West",29.8070621006302,"Maximum Temperature"
"Min_Temp","Min Temp","Intermountain West",7.02936381660727,"Maximum Temperature"
"Min_Vis","Min Vis","Intermountain West",11.7012664070047,"Maximum Temperature"
"month","Month","Intermountain West",1.44152456071348,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Intermountain West",20.8504830490287,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Intermountain West",18.8537282297376,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Intermountain West",46.3419937259019,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Intermountain West",7.06587757049784,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Intermountain West",8.69168100908388,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Intermountain West",15.1168764759424,"Maximum Temperature"
"CloudCover","Cloud Cover","Southwest",1.72512680371721,"Maximum Temperature"
"dist2coast","Dist2Coast","Southwest",1.77278867054753,"Maximum Temperature"
"elevation","Elevation","Southwest",1.97581147445881,"Maximum Temperature"
"lag","Forecast Lag","Southwest",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Southwest",3.96224750840008,"Maximum Temperature"
"Max_Temp","Max Temp","Southwest",10.326447249783,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Southwest",3.94449988104728,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Southwest",4.74804695966688,"Maximum Temperature"
"Min_DewPoint","Min DP","Southwest",3.19828540693022,"Maximum Temperature"
"Min_Temp","Min Temp","Southwest",9.92764278962153,"Maximum Temperature"
"Min_Vis","Min Vis","Southwest",9.92728718882444,"Maximum Temperature"
"month","Month","Southwest",1.55581395600828,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Southwest",2.02350198007981,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Southwest",21.0114201085779,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Southwest",25.5001026413587,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Southwest",39.6722785850474,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Southwest",3.86234748978341,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Southwest",7.44002758033452,"Maximum Temperature"
"CloudCover","Cloud Cover","Midwest",2.93902520206767,"Minimum Temperature"
"dist2coast","Dist2Coast","Midwest",5.55050948503993,"Minimum Temperature"
"elevation","Elevation","Midwest",6.42065914503684,"Minimum Temperature"
"lag","Forecast Lag","Midwest",58.6966279650172,"Minimum Temperature"
"Max_DewPoint","Max DP","Midwest",11.5322102156709,"Minimum Temperature"
"Max_Temp","Max Temp","Midwest",33.7723240394348,"Minimum Temperature"
"Max_Wind_Speed","Max WS","Midwest",4.46016255925623,"Minimum Temperature"
"Mean_Wind_Speed","Mean WS","Midwest",3.90023359346012,"Minimum Temperature"
"Min_DewPoint","Min DP","Midwest",17.4038365271271,"Minimum Temperature"
"Min_Temp","Min Temp","Midwest",30.9157944147379,"Minimum Temperature"
"Min_Vis","Min Vis","Midwest",3.04745940682464,"Minimum Temperature"
"month","Month","Midwest",1.64989162108229,"Minimum Temperature"
"Sd_Max_DewPoint","SD Max DP","Midwest",10.2529875165663,"Minimum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Midwest",27.4532056252994,"Minimum Temperature"
"Sd_Max_Temp","SD Max Temp","Midwest",16.0720335248985,"Minimum Temperature"
"Sd_Min_Humidity","SD Min Hum","Midwest",3.96647541567099,"Minimum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Midwest",100,"Minimum Temperature"
"Sd_Min_Temp","SD Min Temp","Midwest",82.1054797037959,"Minimum Temperature"
"CloudCover","Cloud Cover","Northeast",10.7675574990063,"Minimum Temperature"
"dist2coast","Dist2Coast","Northeast",11.0905830721891,"Minimum Temperature"
"elevation","Elevation","Northeast",23.776180229179,"Minimum Temperature"
"lag","Forecast Lag","Northeast",2.25147564642931,"Minimum Temperature"
"Max_DewPoint","Max DP","Northeast",14.4533199316634,"Minimum Temperature"
"Max_Temp","Max Temp","Northeast",12.6537319057861,"Minimum Temperature"
"Max_Wind_Speed","Max WS","Northeast",9.07831356732323,"Minimum Temperature"
"Mean_Wind_Speed","Mean WS","Northeast",28.8463306367336,"Minimum Temperature"
"Min_DewPoint","Min DP","Northeast",44.2811425776499,"Minimum Temperature"
"Min_Temp","Min Temp","Northeast",97.713486888875,"Minimum Temperature"
"Min_Vis","Min Vis","Northeast",13.9885897253114,"Minimum Temperature"
"month","Month","Northeast",21.1110197236472,"Minimum Temperature"
"Sd_Max_DewPoint","SD Max DP","Northeast",35.4404985818906,"Minimum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Northeast",14.9635567070823,"Minimum Temperature"
"Sd_Max_Temp","SD Max Temp","Northeast",8.52055672733731,"Minimum Temperature"
"Sd_Min_Humidity","SD Min Hum","Northeast",5.40357177935374,"Minimum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Northeast",13.686974213256,"Minimum Temperature"
"Sd_Min_Temp","SD Min Temp","Northeast",100,"Minimum Temperature"
"CloudCover","Cloud Cover","Southeast",5.58959557353776,"Minimum Temperature"
"dist2coast","Dist2Coast","Southeast",32.4240737003656,"Minimum Temperature"
"elevation","Elevation","Southeast",17.2067083131015,"Minimum Temperature"
"lag","Forecast Lag","Southeast",15.0476449476745,"Minimum Temperature"
"Max_DewPoint","Max DP","Southeast",21.3694913161732,"Minimum Temperature"
"Max_Temp","Max Temp","Southeast",83.5669556324338,"Minimum Temperature"
"Max_Wind_Speed","Max WS","Southeast",6.62699699354869,"Minimum Temperature"
"Mean_Wind_Speed","Mean WS","Southeast",10.3991243535707,"Minimum Temperature"
"Min_DewPoint","Min DP","Southeast",62.0975287100982,"Minimum Temperature"
"Min_Temp","Min Temp","Southeast",62.8401194104056,"Minimum Temperature"
"Min_Vis","Min Vis","Southeast",7.33664911398405,"Minimum Temperature"
"month","Month","Southeast",3.92382649631192,"Minimum Temperature"
"Sd_Max_DewPoint","SD Max DP","Southeast",54.9970369972081,"Minimum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Southeast",39.6242667957844,"Minimum Temperature"
"Sd_Max_Temp","SD Max Temp","Southeast",13.3323957608828,"Minimum Temperature"
"Sd_Min_Humidity","SD Min Hum","Southeast",8.6787508723377,"Minimum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Southeast",62.4122298687286,"Minimum Temperature"
"Sd_Min_Temp","SD Min Temp","Southeast",100,"Minimum Temperature"
"CloudCover","Cloud Cover","Cali-Florida",5.79562116605722,"Minimum Temperature"
"dist2coast","Dist2Coast","Cali-Florida",7.71267122171767,"Minimum Temperature"
"elevation","Elevation","Cali-Florida",14.7320813724902,"Minimum Temperature"
"lag","Forecast Lag","Cali-Florida",12.3164632919861,"Minimum Temperature"
"Max_DewPoint","Max DP","Cali-Florida",10.1462320533226,"Minimum Temperature"
"Max_Temp","Max Temp","Cali-Florida",8.15959072926842,"Minimum Temperature"
"Max_Wind_Speed","Max WS","Cali-Florida",10.4114065341604,"Minimum Temperature"
"Mean_Wind_Speed","Mean WS","Cali-Florida",9.70651389399014,"Minimum Temperature"
"Min_DewPoint","Min DP","Cali-Florida",10.5454602517697,"Minimum Temperature"
"Min_Temp","Min Temp","Cali-Florida",22.4513867546224,"Minimum Temperature"
"Min_Vis","Min Vis","Cali-Florida",7.78623787166858,"Minimum Temperature"
"month","Month","Cali-Florida",7.85888978783969,"Minimum Temperature"
"Sd_Max_DewPoint","SD Max DP","Cali-Florida",17.5110285967916,"Minimum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Cali-Florida",41.6402879779166,"Minimum Temperature"
"Sd_Max_Temp","SD Max Temp","Cali-Florida",17.5612922198641,"Minimum Temperature"
"Sd_Min_Humidity","SD Min Hum","Cali-Florida",10.6213277575252,"Minimum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Cali-Florida",29.5979742245388,"Minimum Temperature"
"Sd_Min_Temp","SD Min Temp","Cali-Florida",100,"Minimum Temperature"
"CloudCover","Cloud Cover","Intermountain West",13.0725953380889,"Minimum Temperature"
"dist2coast","Dist2Coast","Intermountain West",13.0074429968406,"Minimum Temperature"
"elevation","Elevation","Intermountain West",18.7019076138084,"Minimum Temperature"
"lag","Forecast Lag","Intermountain West",7.83617551370516,"Minimum Temperature"
"Max_DewPoint","Max DP","Intermountain West",35.1273472233618,"Minimum Temperature"
"Max_Temp","Max Temp","Intermountain West",21.7920284932169,"Minimum Temperature"
"Max_Wind_Speed","Max WS","Intermountain West",3.03359234981994,"Minimum Temperature"
"Mean_Wind_Speed","Mean WS","Intermountain West",6.47227726179996,"Minimum Temperature"
"Min_DewPoint","Min DP","Intermountain West",39.5453505776841,"Minimum Temperature"
"Min_Temp","Min Temp","Intermountain West",100,"Minimum Temperature"
"Min_Vis","Min Vis","Intermountain West",22.4233732945269,"Minimum Temperature"
"month","Month","Intermountain West",2.37509957727356,"Minimum Temperature"
"Sd_Max_DewPoint","SD Max DP","Intermountain West",14.6059204755477,"Minimum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Intermountain West",9.8175812690385,"Minimum Temperature"
"Sd_Max_Temp","SD Max Temp","Intermountain West",9.63590169637897,"Minimum Temperature"
"Sd_Min_Humidity","SD Min Hum","Intermountain West",4.39318931756095,"Minimum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Intermountain West",7.51719272691191,"Minimum Temperature"
"Sd_Min_Temp","SD Min Temp","Intermountain West",67.8801059935928,"Minimum Temperature"
"CloudCover","Cloud Cover","Southwest",20.6421482301153,"Minimum Temperature"
"dist2coast","Dist2Coast","Southwest",40.1674189135266,"Minimum Temperature"
"elevation","Elevation","Southwest",33.3612473259646,"Minimum Temperature"
"lag","Forecast Lag","Southwest",27.452730752401,"Minimum Temperature"
"Max_DewPoint","Max DP","Southwest",54.0662397464561,"Minimum Temperature"
"Max_Temp","Max Temp","Southwest",23.1812508828257,"Minimum Temperature"
"Max_Wind_Speed","Max WS","Southwest",19.1156294805956,"Minimum Temperature"
"Mean_Wind_Speed","Mean WS","Southwest",64.3457028211444,"Minimum Temperature"
"Min_DewPoint","Min DP","Southwest",87.4973558380398,"Minimum Temperature"
"Min_Temp","Min Temp","Southwest",26.5544514011475,"Minimum Temperature"
"Min_Vis","Min Vis","Southwest",21.6787032871436,"Minimum Temperature"
"month","Month","Southwest",10.7937561778625,"Minimum Temperature"
"Sd_Max_DewPoint","SD Max DP","Southwest",41.8096075652069,"Minimum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Southwest",92.8125818660659,"Minimum Temperature"
"Sd_Max_Temp","SD Max Temp","Southwest",20.7611902856767,"Minimum Temperature"
"Sd_Min_Humidity","SD Min Hum","Southwest",14.3900453678457,"Minimum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Southwest",55.6000342043449,"Minimum Temperature"
"Sd_Min_Temp","SD Min Temp","Southwest",100,"Minimum Temperature"
"CloudCover","Cloud Cover","Midwest",35.7077443921381,"Precipitation"
"dist2coast","Dist2Coast","Midwest",19.1907522855755,"Precipitation"
"elevation","Elevation","Midwest",9.11166589174842,"Precipitation"
"lag","Forecast Lag","Midwest",100,"Precipitation"
"Max_DewPoint","Max DP","Midwest",4.29267215314521,"Precipitation"
"Max_Temp","Max Temp","Midwest",5.90259708596395,"Precipitation"
"Max_Wind_Speed","Max WS","Midwest",18.1090575793965,"Precipitation"
"Mean_Wind_Speed","Mean WS","Midwest",9.10431422789664,"Precipitation"
"Min_DewPoint","Min DP","Midwest",4.72907958130604,"Precipitation"
"Min_Temp","Min Temp","Midwest",6.85598119138266,"Precipitation"
"Min_Vis","Min Vis","Midwest",27.0270107907536,"Precipitation"
"month","Month","Midwest",2.35918461211585,"Precipitation"
"Sd_Max_DewPoint","SD Max DP","Midwest",11.5316907031565,"Precipitation"
"Sd_Max_Sea_Level_Press","SD Max SLP","Midwest",5.33123630354562,"Precipitation"
"Sd_Max_Temp","SD Max Temp","Midwest",5.11271561135141,"Precipitation"
"Sd_Min_Humidity","SD Min Hum","Midwest",6.4295105069097,"Precipitation"
"Sd_Min_Sea_Level_Press","SD Min SLP","Midwest",5.99684309288669,"Precipitation"
"Sd_Min_Temp","SD Min Temp","Midwest",15.3238238736439,"Precipitation"
"CloudCover","Cloud Cover","Northeast",46.6113002185682,"Precipitation"
"dist2coast","Dist2Coast","Northeast",23.8573489814615,"Precipitation"
"elevation","Elevation","Northeast",48.8640451067701,"Precipitation"
"lag","Forecast Lag","Northeast",100,"Precipitation"
"Max_DewPoint","Max DP","Northeast",21.3944072836066,"Precipitation"
"Max_Temp","Max Temp","Northeast",42.2384222866629,"Precipitation"
"Max_Wind_Speed","Max WS","Northeast",9.71451810157518,"Precipitation"
"Mean_Wind_Speed","Mean WS","Northeast",7.03031488360479,"Precipitation"
"Min_DewPoint","Min DP","Northeast",10.5141710119755,"Precipitation"
"Min_Temp","Min Temp","Northeast",20.1661185686948,"Precipitation"
"Min_Vis","Min Vis","Northeast",11.1822507723697,"Precipitation"
"month","Month","Northeast",1.20068402773454,"Precipitation"
"Sd_Max_DewPoint","SD Max DP","Northeast",6.13585342362197,"Precipitation"
"Sd_Max_Sea_Level_Press","SD Max SLP","Northeast",10.4234559971969,"Precipitation"
"Sd_Max_Temp","SD Max Temp","Northeast",4.13515562996461,"Precipitation"
"Sd_Min_Humidity","SD Min Hum","Northeast",4.12322328233777,"Precipitation"
"Sd_Min_Sea_Level_Press","SD Min SLP","Northeast",8.72764622704767,"Precipitation"
"Sd_Min_Temp","SD Min Temp","Northeast",7.93386390841075,"Precipitation"
"CloudCover","Cloud Cover","Southeast",30.4669094945687,"Precipitation"
"dist2coast","Dist2Coast","Southeast",26.3502271909864,"Precipitation"
"elevation","Elevation","Southeast",26.6294197206134,"Precipitation"
"lag","Forecast Lag","Southeast",100,"Precipitation"
"Max_DewPoint","Max DP","Southeast",16.2218135772982,"Precipitation"
"Max_Temp","Max Temp","Southeast",18.051378946231,"Precipitation"
"Max_Wind_Speed","Max WS","Southeast",11.3767098617633,"Precipitation"
"Mean_Wind_Speed","Mean WS","Southeast",6.12526098205217,"Precipitation"
"Min_DewPoint","Min DP","Southeast",41.4800397051255,"Precipitation"
"Min_Temp","Min Temp","Southeast",9.47754538246372,"Precipitation"
"Min_Vis","Min Vis","Southeast",10.6158188094477,"Precipitation"
"month","Month","Southeast",8.34922366277276,"Precipitation"
"Sd_Max_DewPoint","SD Max DP","Southeast",47.8518388202344,"Precipitation"
"Sd_Max_Sea_Level_Press","SD Max SLP","Southeast",14.8013187195586,"Precipitation"
"Sd_Max_Temp","SD Max Temp","Southeast",13.7028976331784,"Precipitation"
"Sd_Min_Humidity","SD Min Hum","Southeast",11.4013359444998,"Precipitation"
"Sd_Min_Sea_Level_Press","SD Min SLP","Southeast",11.8949940878831,"Precipitation"
"Sd_Min_Temp","SD Min Temp","Southeast",12.8421562556508,"Precipitation"
"CloudCover","Cloud Cover","Cali-Florida",9.71119678711248,"Precipitation"
"dist2coast","Dist2Coast","Cali-Florida",3.31071543703194,"Precipitation"
"elevation","Elevation","Cali-Florida",0.743973603109767,"Precipitation"
"lag","Forecast Lag","Cali-Florida",100,"Precipitation"
"Max_DewPoint","Max DP","Cali-Florida",9.90797591411036,"Precipitation"
"Max_Temp","Max Temp","Cali-Florida",9.00239848011102,"Precipitation"
"Max_Wind_Speed","Max WS","Cali-Florida",1.63643732287945,"Precipitation"
"Mean_Wind_Speed","Mean WS","Cali-Florida",1.81694892389246,"Precipitation"
"Min_DewPoint","Min DP","Cali-Florida",7.5952438933034,"Precipitation"
"Min_Temp","Min Temp","Cali-Florida",6.8638036502193,"Precipitation"
"Min_Vis","Min Vis","Cali-Florida",2.20534504554155,"Precipitation"
"month","Month","Cali-Florida",1.27677956138675,"Precipitation"
"Sd_Max_DewPoint","SD Max DP","Cali-Florida",2.35177994072744,"Precipitation"
"Sd_Max_Sea_Level_Press","SD Max SLP","Cali-Florida",21.8558554644975,"Precipitation"
"Sd_Max_Temp","SD Max Temp","Cali-Florida",4.52358913469662,"Precipitation"
"Sd_Min_Humidity","SD Min Hum","Cali-Florida",3.32739048045024,"Precipitation"
"Sd_Min_Sea_Level_Press","SD Min SLP","Cali-Florida",26.4542918431787,"Precipitation"
"Sd_Min_Temp","SD Min Temp","Cali-Florida",1.58297027405291,"Precipitation"
"CloudCover","Cloud Cover","Intermountain West",9.42081980556086,"Precipitation"
"dist2coast","Dist2Coast","Intermountain West",13.4845090876048,"Precipitation"
"elevation","Elevation","Intermountain West",12.6827697384997,"Precipitation"
"lag","Forecast Lag","Intermountain West",100,"Precipitation"
"Max_DewPoint","Max DP","Intermountain West",5.26865713970083,"Precipitation"
"Max_Temp","Max Temp","Intermountain West",4.25109776075235,"Precipitation"
"Max_Wind_Speed","Max WS","Intermountain West",4.58918415458268,"Precipitation"
"Mean_Wind_Speed","Mean WS","Intermountain West",2.81591847342068,"Precipitation"
"Min_DewPoint","Min DP","Intermountain West",5.13736451588055,"Precipitation"
"Min_Temp","Min Temp","Intermountain West",3.61353355362156,"Precipitation"
"Min_Vis","Min Vis","Intermountain West",6.21477325816858,"Precipitation"
"month","Month","Intermountain West",1.06106556850103,"Precipitation"
"Sd_Max_DewPoint","SD Max DP","Intermountain West",2.88334484476088,"Precipitation"
"Sd_Max_Sea_Level_Press","SD Max SLP","Intermountain West",2.53798214050811,"Precipitation"
"Sd_Max_Temp","SD Max Temp","Intermountain West",2.64340222521333,"Precipitation"
"Sd_Min_Humidity","SD Min Hum","Intermountain West",4.90879369843526,"Precipitation"
"Sd_Min_Sea_Level_Press","SD Min SLP","Intermountain West",2.53121300079129,"Precipitation"
"Sd_Min_Temp","SD Min Temp","Intermountain West",3.67705142360507,"Precipitation"
"CloudCover","Cloud Cover","Southwest",6.56492962345957,"Precipitation"
"dist2coast","Dist2Coast","Southwest",3.8074064899428,"Precipitation"
"elevation","Elevation","Southwest",18.8618956408221,"Precipitation"
"lag","Forecast Lag","Southwest",100,"Precipitation"
"Max_DewPoint","Max DP","Southwest",30.0203083236709,"Precipitation"
"Max_Temp","Max Temp","Southwest",19.2579470109345,"Precipitation"
"Max_Wind_Speed","Max WS","Southwest",11.7268254461383,"Precipitation"
"Mean_Wind_Speed","Mean WS","Southwest",26.0965012180419,"Precipitation"
"Min_DewPoint","Min DP","Southwest",18.2927861993771,"Precipitation"
"Min_Temp","Min Temp","Southwest",16.3733090773716,"Precipitation"
"Min_Vis","Min Vis","Southwest",6.57344990069143,"Precipitation"
"month","Month","Southwest",4.19103837750992,"Precipitation"
"Sd_Max_DewPoint","SD Max DP","Southwest",4.26367790013757,"Precipitation"
"Sd_Max_Sea_Level_Press","SD Max SLP","Southwest",11.6490005983343,"Precipitation"
"Sd_Max_Temp","SD Max Temp","Southwest",5.8996514357775,"Precipitation"
"Sd_Min_Humidity","SD Min Hum","Southwest",5.53006066353428,"Precipitation"
"Sd_Min_Sea_Level_Press","SD Min SLP","Southwest",7.26030331017836,"Precipitation"
"Sd_Min_Temp","SD Min Temp","Southwest",4.54935252687624,"Precipitation"
